443,50
436,51
437,50
441,48
433,47
442,60
432,65
419,58
404,62
396,53
389,48
397,55
393,46
384,51
388,66
390,61
417,50
441,73
419,68
415,60
459,64
422,65
461,59
448,61
442,67
413,64
468,73
478,77
474,71
441,54
461,62
448,61
471,66
450,60
448,57
430,63
483,76
495,75
468,75
459,68
456,72
474,74
440,60
449,67
397,67
416,71
385,62
478,62
473,69
468,72
461,68
451,57
451,60
456,64
449,74
458,74
449,56
451,60
471,67
432,60
416,71
475,73
419,54
445,64
448,64
446,62
447,60
440,58
447,58
435,54
429,52
473,76
481,74
449,57
448,61
456,61
444,55
442,54
443,63
459,62
424,69
467,66
481,68
442,59
447,61
452,56
446,58
462,63
432,51
465,65
455,63
449,57
447,58
442,56
427,53
452,59
441,63
421,53
396,67
390,57
389,50
384,52
382,47
377,40
381,49
375,52
369,50
381,51
376,47
380,50
